ar,العربية
bg,Български
ca,Català
cs,Czech
cy,Cymraeg
da,Dansk 
de,Deutsch
el,Ελληνικά
eo,Esperanto
es,Español
et,Eesti
eu,Euskera
fa,فارسی
fa_AF,Dari
fi,suomi
fr,Français
fr_CA,Français (Canada)
he,עִבְרִית
hi,हिन्दी
hr,Hrvatski
hu,Magyar
hy,Հայերեն
id,Bahasa Indonesia
is,Íslenska
it,Italiano
ja,日本語
ja_HIRA,にほんご
km,សំលៀកបំពាក
ko,한국어
ku,Kurdî
la,Latina
lt,Lietuvių
mk,Македонски
mn,Монгол хэл
mr,मराठी
ms,Bahasa Melayu
my,မြန်မာဘာသာ
myn,Tenek
nai,Tepehuan
nl,Nederlands
no,Norsk
ote,Hnahnu
oto,Otomi
pl,Polski
pt,Português
pt_BR,Português (Brasil)
ro,Română
ru,Русский
rw,Kinyarwanda
sk,Slovenčina
sl,Slovenščina
sr,Српски
sv,svenska
sw,luga-jina
th,ไทย
tr,Türkçe
uk,Українська
vi,Tiếng Việt
zh_CN,简体中文
zh_TW,正體中文
